B;6;[4.5, 4.5, 3.5, 2.5, 0.5, 0.5];64;192
B;6;[4.5, 4.5, 3.5, 2.5, 1.5, 1.5];16;32
C;2;[1, 0];2;2
C;3;[2, 1, 1];6;12
C;3;[1, 1, 0];12;36
C;3;[2, 2, 2];2;1
C;3;[0, 0, 0];16;56
C;3;[2, 0, 0];8;20
C;3;[2, 2, 0];4;6
C;4;[3, 2, 1, 0];38;152
C;4;[2, 2, 0, 0];112;616
C;4;[3, 2, 2, 1];20;60
C;4;[2, 2, 1, 1];84;420
C;4;[2, 2, 2, 0];60;270
C;4;[3, 1, 0, 0];72;360
C;4;[2, 1, 1, 0];156;936
C;4;[3, 3, 0, 0];16;48
C;4;[3, 3, 2, 0];8;16
C;4;[2, 2, 2, 2];32;112
C;4;[3, 3, 1, 1];12;30
C;4;[3, 1, 1, 1];54;243
C;4;[3, 3, 2, 2];4;4
C;5;[4, 4, 3, 2, 0];16;40
C;5;[4, 4, 3, 2, 2];8;12
C;5;[4, 4, 1, 1, 1];108;540
C;5;[4, 4, 3, 0, 0];32;112
C;5;[4, 3, 3, 3, 0];28;84
C;5;[4, 3, 3, 2, 1];68;272
C;5;[4, 3, 2, 2, 0];196;1078
C;5;[4, 3, 2, 2, 2];106;477
C;5;[4, 4, 2, 2, 1];40;140
C;5;[4, 4, 3, 1, 1];24;72
C;5;[3, 3, 3, 3, 1];112;504
C;5;[3, 3, 3, 2, 2];172;860
C;5;[4, 3, 3, 3, 2];14;28
C;5;[4, 4, 2, 1, 0];76;342
C;5;[3, 3, 3, 3, 3];24;60
C;5;[4, 3, 3, 1, 0];128;640
C;5;[4, 4, 1, 0, 0];144;792
C;6;[4, 4, 4, 3, 3, 3];132;528
C;6;[5, 4, 4, 3, 3, 2];48;144
C;6;[5, 4, 4, 4, 2, 2];28;70
C;6;[5, 5, 3, 3, 2, 1];136;612
C;6;[5, 5, 3, 3, 3, 2];28;70
C;6;[5, 4, 3, 3, 3, 3];80;280
C;6;[5, 5, 4, 3, 0, 0];64;256
C;6;[4, 4, 4, 4, 3, 2];80;280
C;6;[5, 5, 4, 3, 2, 2];16;32
C;6;[5, 4, 4, 3, 3, 0];96;384
C;6;[5, 4, 4, 4, 0, 0];112;504
C;6;[5, 5, 4, 3, 1, 1];48;168
C;6;[4, 4, 4, 4, 3, 0];160;720
C;6;[5, 4, 4, 4, 2, 0];56;196
C;6;[5, 5, 3, 3, 3, 0];56;196
C;6;[5, 5, 4, 2, 1, 0];152;760
C;6;[5, 4, 4, 4, 1, 1];84;336
C;6;[5, 5, 4, 2, 2, 1];80;320
C;6;[5, 5, 4, 3, 2, 0];32;96
D;3;[1, 0, 0];4;4
D;3;[1, 1, 1];2;1
D;4;[2, 0, 0, 0];24;60
D;4;[2, 2, 0, 0];8;12
D;4;[2, 2, 1, 1];4;4
D;4;[1, 1, 0, 0];40;120
D;4;[1, 1, 1, 1];24;60
D;4;[2, 1, 1, 0];14;28
D;4;[0, 0, 0, 0];64;224
D;5;[3, 3, 0, 0, 0];48;144
D;5;[3, 3, 1, 1, 0];28;70
D;5;[2, 2, 2, 2, 0];80;280
D;5;[3, 3, 2, 0, 0];16;32
D;5;[3, 2, 1, 0, 0];132;528
D;5;[2, 2, 2, 1, 1];132;528
D;5;[3, 2, 2, 1, 0];48;144
D;5;[3, 2, 1, 1, 1];80;280
D;5;[2, 2, 2, 2, 2];24;60
D;5;[3, 2, 2, 2, 1];14;28
D;5;[3, 3, 2, 1, 1];8;12
D;6;[4, 4, 2, 2, 1, 0];96;336
D;6;[4, 3, 3, 3, 0, 0];56;168
D;6;[4, 3, 3, 2, 1, 0];164;656
D;6;[4, 3, 3, 2, 2, 1];48;144
D;6;[4, 4, 3, 1, 1, 0];56;168
D;6;[4, 4, 3, 2, 0, 0];32;80
D;6;[4, 4, 3, 2, 1, 1];16;32
D;6;[3, 3, 3, 3, 2, 1];80;280
D;6;[4, 3, 2, 2, 2, 2];80;280
D;6;[4, 4, 2, 1, 1, 1];160;640
D;6;[3, 3, 3, 2, 2, 2];132;528
D;6;[4, 4, 2, 2, 2, 1];28;70
D;6;[4, 4, 3, 0, 0, 0];96;336
D;6;[4, 3, 3, 3, 1, 1];28;70
